dep,vaccin,jour,n_tot_dose1,n_tot_dose2
67,3,2021-02-28,7245,0
68,1,2021-02-28,26502,10139
68,2,2021-02-28,8552,6281
68,3,2021-02-28,3693,0
69,1,2021-02-28,58133,38659
69,2,2021-02-28,195,0
69,3,2021-02-28,10576,0
70,1,2021-02-28,8267,5174
70,2,2021-02-28,1260,7
70,3,2021-02-28,665,0
71,1,2021-02-28,25804,17415
71,2,2021-02-28,2033,1
71,3,2021-02-28,2240,0
72,1,2021-02-28,20768,11689
72,2,2021-02-28,467,1
72,3,2021-02-28,2349,0
73,1,2021-02-28,19982,10114
73,2,2021-02-28,547,0
73,3,2021-02-28,2269,0
74,1,2021-02-28,22857,12950
74,2,2021-02-28,197,1
74,3,2021-02-28,2700,0
75,1,2021-02-28,85995,59102
75,2,2021-02-28,7092,6
75,3,2021-02-28,11713,0
76,1,2021-02-28,49953,36017
76,2,2021-02-28,2393,3
76,3,2021-02-28,8228,0
77,1,2021-02-28,33672,21579
77,2,2021-02-28,21,4
77,3,2021-02-28,3579,0
78,1,2021-02-28,35347,23037
78,2,2021-02-28,4016,2
78,3,2021-02-28,5162,0
79,1,2021-02-28,16142,11304
79,2,2021-02-28,1052,1
79,3,2021-02-28,2327,0
80,1,2021-02-28,18027,13941
80,2,2021-02-28,4055,1
80,3,2021-02-28,2925,0
81,1,2021-02-28,18024,10801
81,2,2021-02-28,1035,0
81,3,2021-02-28,1727,0
82,1,2021-02-28,14065,7981
82,2,2021-02-28,3,1
82,3,2021-02-28,865,0
83,1,2021-02-28,38700,22701
83,2,2021-02-28,9364,3741
83,3,2021-02-28,1684,0
84,1,2021-02-28,23731,13282
84,2,2021-02-28,6,3
84,3,2021-02-28,1070,0
85,1,2021-02-28,31748,18651
85,2,2021-02-28,545,0
85,3,2021-02-28,3281,0
86,1,2021-02-28,22476,14057
86,2,2021-02-28,4,1
86,3,2021-02-28,3111,0
87,1,2021-02-28,17133,11344
87,2,2021-02-28,511,1
