reg;jour;res_vac_tot_dose1;res_vac_tot_dose2;res_couv_tot_dose1;res_couv_tot_dose2
01;2021-03-07;317;204;22.3;14.3
02;2021-03-07;343;239;19.7;13.8
03;2021-03-07;146;131;65.8;59.0
04;2021-03-07;1069;831;69.9;54.3
07;2021-03-07;4;5;;
11;2021-03-07;58039;41307;85.5;60.9
24;2021-03-07;24223;18878;80.7;62.9
27;2021-03-07;25133;18667;74.1;55.1
28;2021-03-07;32687;26392;93.9;75.8
32;2021-03-07;39290;27637;80.0;56.3
44;2021-03-07;44370;33265;83.0;62.2
52;2021-03-07;43476;33646;91.5;70.8
53;2021-03-07;40264;31486;96.0;75.1
75;2021-03-07;64927;49070;89.2;67.4
76;2021-03-07;54145;41438;87.4;66.9
84;2021-03-07;61797;41035;77.9;51.7
93;2021-03-07;37686;26111;80.1;55.5
94;2021-03-07;2244;1504;100.0;72.9
