dep;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
00;2021-03-07;2;2;;;
01;2021-03-07;27856;12449;656955.0;4.2;1.9
02;2021-03-07;30560;13405;526050.0;5.8;2.5
03;2021-03-07;32526;17911;331315.0;9.8;5.4
04;2021-03-07;12653;8032;165197.0;7.7;4.9
05;2021-03-07;8852;4985;141756.0;6.2;3.5
06;2021-03-07;79275;32355;1079396.0;7.3;3.0
07;2021-03-07;22281;9045;326875.0;6.8;2.8
08;2021-03-07;18285;9684;265531.0;6.9;3.6
09;2021-03-07;10135;6342;152398.0;6.7;4.2
10;2021-03-07;19342;11079;309907.0;6.2;3.6
11;2021-03-07;20923;10648;372705.0;5.6;2.9
12;2021-03-07;21860;14268;278360.0;7.9;5.1
13;2021-03-07;115681;60984;2034469.0;5.7;3.0
14;2021-03-07;50408;26241;691453.0;7.3;3.8
15;2021-03-07;12588;8328;142811.0;8.8;5.8
16;2021-03-07;26148;15636;348180.0;7.5;4.5
17;2021-03-07;52806;29213;647080.0;8.2;4.5
18;2021-03-07;23902;11592;296404.0;8.1;3.9
19;2021-03-07;20478;9595;240336.0;8.5;4.0
21;2021-03-07;37345;21826;532886.0;7.0;4.1
22;2021-03-07;46018;21676;596186.0;7.7;3.6
23;2021-03-07;10804;6693;116270.0;9.3;5.8
24;2021-03-07;26206;13356;408393.0;6.4;3.3
25;2021-03-07;33037;21276;539449.0;6.1;3.9
26;2021-03-07;35166;16735;520560.0;6.8;3.2
27;2021-03-07;29286;15137;600687.0;4.9;2.5
28;2021-03-07;25254;12343;429425.0;5.9;2.9
29;2021-03-07;63358;29098;906554.0;7.0;3.2
2A;2021-03-07;14484;6368;162421.0;8.9;3.9
2B;2021-03-07;14221;6853;182258.0;7.8;3.8
30;2021-03-07;49983;22706;748468.0;6.7;3.0
31;2021-03-07;71607;39538;1400935.0;5.1;2.8
32;2021-03-07;16021;8552;190040.0;8.4;4.5
33;2021-03-07;89763;49305;1633440.0;5.5;3.0
34;2021-03-07;68288;36863;1176145.0;5.8;3.1
35;2021-03-07;62172;31100;1082073.0;5.7;2.9
36;2021-03-07;18778;12054;217139.0;8.6;5.6
37;2021-03-07;35589;17132;605380.0;5.9;2.8
38;2021-03-07;73779;26731;1264979.0;5.8;2.1
39;2021-03-07;22947;15896;257849.0;8.9;6.2
40;2021-03-07;28261;15891;411979.0;6.9;3.9
41;2021-03-07;21892;10763;327835.0;6.7;3.3
42;2021-03-07;47895;22906;764737.0;6.3;3.0
43;2021-03-07;17584;10789;226901.0;7.7;4.8
44;2021-03-07;73893;38094;1437137.0;5.1;2.7
45;2021-03-07;37436;18388;682890.0;5.5;2.7
46;2021-03-07;13440;7076;173166.0;7.8;4.1
47;2021-03-07;17626;10375;330336.0;5.3;3.1
48;2021-03-07;6190;4021;76286.0;8.1;5.3
49;2021-03-07;46674;22383;815881.0;5.7;2.7
50;2021-03-07;35260;18456;490669.0;7.2;3.8
51;2021-03-07;30822;16443;563823.0;5.5;2.9
52;2021-03-07;9584;6025;169250.0;5.7;3.6
53;2021-03-07;19038;10890;305365.0;6.2;3.6
54;2021-03-07;43704;22713;730398.0;6.0;3.1
55;2021-03-07;9263;6183;181641.0;5.1;3.4
56;2021-03-07;50702;24846;755566.0;6.7;3.3
57;2021-03-07;89286;29812;1035866.0;8.6;2.9
58;2021-03-07;17910;10826;199596.0;9.0;5.4
59;2021-03-07;147089;57918;2588988.0;5.7;2.2
60;2021-03-07;35098;14568;825077.0;4.3;1.8
61;2021-03-07;21885;16115;276903.0;7.9;5.8
62;2021-03-07;81652;25550;1452778.0;5.6;1.8
63;2021-03-07;36942;18671;660240.0;5.6;2.8
64;2021-03-07;47683;26978;683169.0;7.0;3.9
65;2021-03-07;18517;10296;226839.0;8.2;4.5
66;2021-03-07;35327;20465;479000.0;7.4;4.3
67;2021-03-07;65377;32498;1132607.0;5.8;2.9
68;2021-03-07;49835;21089;763204.0;6.5;2.8
69;2021-03-07;91935;44162;1876051.0;4.9;2.4
70;2021-03-07;13484;6551;233194.0;5.8;2.8
71;2021-03-07;39247;20798;547824.0;7.2;3.8
72;2021-03-07;28027;15040;560227.0;5.0;2.7
73;2021-03-07;27807;14348;432548.0;6.4;3.3
74;2021-03-07;34162;16861;828405.0;4.1;2.0
75;2021-03-07;145142;71025;2148271.0;6.8;3.3
76;2021-03-07;75900;42993;1243788.0;6.1;3.5
77;2021-03-07;54496;26474;1423607.0;3.8;1.9
78;2021-03-07;64477;29223;1448625.0;4.5;2.0
79;2021-03-07;23296;13694;372627.0;6.3;3.7
80;2021-03-07;35487;14925;569769.0;6.2;2.6
81;2021-03-07;25231;13201;387898.0;6.5;3.4
82;2021-03-07;18334;9672;262618.0;7.0;3.7
83;2021-03-07;61691;33085;1073836.0;5.7;3.1
84;2021-03-07;30883;16878;560997.0;5.5;3.0
85;2021-03-07;43101;22506;683187.0;6.3;3.3
86;2021-03-07;32143;17112;437398.0;7.3;3.9
87;2021-03-07;26729;13005;370774.0;7.2;3.5
88;2021-03-07;26334;12053;359520.0;7.3;3.4
