dep;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
89;2021-03-07;19662;11085;332096.0;5.9;3.3
90;2021-03-07;10988;6935;140145.0;7.8;4.9
91;2021-03-07;56459;27925;1319401.0;4.3;2.1
92;2021-03-07;71164;34686;1613762.0;4.4;2.1
93;2021-03-07;58079;25861;1670149.0;3.5;1.5
94;2021-03-07;63591;31216;1406041.0;4.5;2.2
95;2021-03-07;55264;25394;1248354.0;4.4;2.0
970;2021-03-07;1;0;;;
971;2021-03-07;4180;1427;376879.0;1.1;0.4
972;2021-03-07;5573;2975;358749.0;1.6;0.8
973;2021-03-07;4715;1580;290691.0;1.6;0.5
974;2021-03-07;21348;7252;859959.0;2.5;0.8
976;2021-03-07;5948;1650;279471.0;2.1;0.6
977;2021-03-07;313;67;9961.0;3.1;0.7
978;2021-03-07;244;93;35334.0;0.7;0.3
