reg;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
01;2021-01-13;6;0;0.4;0.0;6;0
01;2021-01-18;8;0;0.6;0.0;14;0
01;2021-01-19;50;0;3.5;0.0;64;0
01;2021-01-20;14;0;1.0;0.0;78;0
01;2021-01-21;20;0;1.4;0.0;98;0
01;2021-01-22;11;0;0.8;0.0;109;0
01;2021-01-25;36;0;2.5;0.0;145;0
01;2021-01-26;28;0;2.0;0.0;173;0
01;2021-01-27;45;0;3.2;0.0;218;0
01;2021-01-28;6;0;0.4;0.0;224;0
01;2021-02-01;7;0;0.5;0.0;231;0
01;2021-02-02;8;0;0.6;0.0;239;0
01;2021-02-03;10;0;0.7;0.0;249;0
01;2021-02-04;16;6;1.1;0.4;265;6
01;2021-02-05;0;1;0.0;0.1;265;7
01;2021-02-08;16;1;1.1;0.1;281;8
01;2021-02-09;2;0;0.1;0.0;283;8
01;2021-02-10;1;0;0.1;0.0;284;8
01;2021-02-11;15;30;1.1;2.1;299;38
01;2021-02-12;3;13;0.2;0.9;302;51
01;2021-02-13;0;9;0.0;0.6;302;60
01;2021-02-14;2;32;0.1;2.3;304;92
01;2021-02-15;2;27;0.1;1.9;306;119
01;2021-02-19;2;13;0.1;0.9;308;132
01;2021-02-22;0;2;0.0;0.1;308;134
01;2021-02-23;2;8;0.1;0.6;310;142
01;2021-02-24;13;44;0.9;3.1;323;186
01;2021-02-25;0;1;0.0;0.1;323;187
01;2021-02-26;0;4;0.0;0.3;323;191
01;2021-03-01;4;7;0.3;0.5;327;198
01;2021-03-02;2;1;0.1;0.1;329;199
01;2021-03-05;5;5;0.4;0.4;334;204
01;2021-03-08;0;13;0.0;0.9;334;217
01;2021-03-09;2;5;0.1;0.4;336;222
01;2021-03-10;4;13;0.3;0.9;340;235
01;2021-03-11;2;1;0.1;0.1;342;236
01;2021-03-12;4;0;0.3;0.0;346;236
01;2021-03-13;1;0;0.1;0.0;347;236
02;2021-01-08;24;0;1.4;0.0;24;0
02;2021-01-09;17;0;1.0;0.0;41;0
02;2021-01-11;42;0;2.4;0.0;83;0
02;2021-01-12;14;0;0.8;0.0;97;0
02;2021-01-13;2;0;0.1;0.0;99;0
02;2021-01-14;3;0;0.2;0.0;102;0
02;2021-01-15;6;0;0.3;0.0;108;0
02;2021-01-16;0;1;0.0;0.1;108;1
02;2021-01-18;14;0;0.8;0.0;122;1
02;2021-01-19;5;0;0.3;0.0;127;1
02;2021-01-20;15;0;0.9;0.0;142;1
02;2021-01-21;40;0;2.3;0.0;182;1
02;2021-01-22;6;0;0.3;0.0;188;1
02;2021-01-23;13;0;0.7;0.0;201;1
02;2021-01-25;4;0;0.2;0.0;205;1
02;2021-01-26;1;0;0.1;0.0;206;1
02;2021-01-27;12;0;0.7;0.0;218;1
02;2021-01-28;6;0;0.3;0.0;224;1
02;2021-01-29;6;12;0.3;0.7;230;13
02;2021-01-30;7;16;0.4;0.9;237;29
02;2021-02-01;17;40;1.0;2.3;254;69
02;2021-02-02;7;18;0.4;1.0;261;87
02;2021-02-03;7;6;0.4;0.3;268;93
02;2021-02-04;4;7;0.2;0.4;272;100
02;2021-02-05;2;0;0.1;0.0;274;100
02;2021-02-06;13;8;0.7;0.5;287;108
02;2021-02-08;4;9;0.2;0.5;291;117
02;2021-02-09;1;0;0.1;0.0;292;117
02;2021-02-10;1;4;0.1;0.2;293;121
02;2021-02-11;12;13;0.7;0.7;305;134
02;2021-02-12;15;31;0.9;1.8;320;165
02;2021-02-13;1;1;0.1;0.1;321;166
02;2021-02-15;3;27;0.2;1.6;324;193
02;2021-02-18;0;5;0.0;0.3;324;198
02;2021-02-19;1;7;0.1;0.4;325;205
02;2021-02-20;1;0;0.1;0.0;326;205
02;2021-02-22;12;1;0.7;0.1;338;206
02;2021-02-23;1;10;0.1;0.6;339;216
02;2021-02-24;5;7;0.3;0.4;344;223
02;2021-02-25;0;6;0.0;0.3;344;229
02;2021-02-26;1;4;0.1;0.2;345;233
02;2021-02-27;0;3;0.0;0.2;345;236
02;2021-03-01;0;4;0.0;0.2;345;240
02;2021-03-02;1;0;0.1;0.0;346;240
02;2021-03-04;2;0;0.1;0.0;348;240
02;2021-03-05;1;2;0.1;0.1;349;242
02;2021-03-08;8;0;0.5;0.0;357;242
02;2021-03-09;1;3;0.1;0.2;358;245
02;2021-03-10;1;1;0.1;0.1;359;246
02;2021-03-11;2;0;0.1;0.0;361;246
02;2021-03-12;0;1;0.0;0.1;361;247
02;2021-03-13;0;2;0.0;0.1;361;249
03;2021-01-13;17;0;7.7;0.0;17;0
03;2021-01-14;6;0;2.7;0.0;23;0
03;2021-01-15;10;0;4.5;0.0;33;0
03;2021-01-18;13;0;5.9;0.0;46;0
03;2021-01-19;24;0;10.8;0.0;70;0
03;2021-01-20;14;0;6.3;0.0;84;0
03;2021-01-21;21;0;9.5;0.0;105;0
03;2021-01-22;10;0;4.5;0.0;115;0
03;2021-01-25;6;0;2.7;0.0;121;0
03;2021-01-26;1;0;0.5;0.0;122;0
03;2021-01-28;1;0;0.5;0.0;123;0
03;2021-01-29;1;0;0.5;0.0;124;0
03;2021-02-02;2;0;0.9;0.0;126;0
03;2021-02-03;3;8;1.4;3.6;129;8
03;2021-02-04;0;9;0.0;4.1;129;17
03;2021-02-05;1;0;0.5;0.0;130;17
03;2021-02-08;3;7;1.4;3.2;133;24
03;2021-02-09;1;17;0.5;7.7;134;41
03;2021-02-10;4;0;1.8;0.0;138;41
03;2021-02-11;0;24;0.0;10.8;138;65
03;2021-02-12;1;23;0.5;10.4;139;88
03;2021-02-16;0;1;0.0;0.5;139;89
03;2021-02-17;1;18;0.5;8.1;140;107
03;2021-02-18;0;16;0.0;7.2;140;123
03;2021-02-22;0;3;0.0;1.4;140;126
03;2021-02-23;1;0;0.5;0.0;141;126
03;2021-02-24;0;1;0.0;0.5;141;127
03;2021-02-25;3;3;1.4;1.4;144;130
03;2021-02-27;2;0;0.9;0.0;146;130
03;2021-03-01;0;1;0.0;0.5;146;131
03;2021-03-02;1;0;0.5;0.0;147;131
03;2021-03-13;1;0;0.5;0.0;148;131
04;2021-01-05;1;0;0.1;0.0;1;0
04;2021-01-15;243;0;15.9;0.0;244;0
04;2021-01-16;18;0;1.2;0.0;262;0
04;2021-01-18;14;0;0.9;0.0;276;0
04;2021-01-19;167;0;10.9;0.0;443;0
04;2021-01-20;76;0;5.0;0.0;519;0
04;2021-01-21;25;0;1.6;0.0;544;0
04;2021-01-22;17;0;1.1;0.0;561;0
04;2021-01-25;16;0;1.0;0.0;577;0
04;2021-01-26;147;0;9.6;0.0;724;0
04;2021-01-27;45;0;2.9;0.0;769;0
04;2021-01-28;59;0;3.9;0.0;828;0
04;2021-01-29;11;1;0.7;0.1;839;1
04;2021-01-30;5;0;0.3;0.0;844;1
04;2021-02-01;8;0;0.5;0.0;852;1
04;2021-02-02;4;0;0.3;0.0;856;1
04;2021-02-03;5;0;0.3;0.0;861;1
04;2021-02-04;15;0;1.0;0.0;876;1
04;2021-02-05;20;182;1.3;11.9;896;183
04;2021-02-06;1;0;0.1;0.0;897;183
04;2021-02-08;7;19;0.5;1.2;904;202
04;2021-02-09;11;101;0.7;6.6;915;303
04;2021-02-10;9;62;0.6;4.1;924;365
04;2021-02-11;6;51;0.4;3.3;930;416
04;2021-02-12;19;46;1.2;3.0;949;462
04;2021-02-13;19;1;1.2;0.1;968;463
04;2021-02-15;15;36;1.0;2.4;983;499
04;2021-02-16;36;180;2.4;11.8;1019;679
04;2021-02-17;3;66;0.2;4.3;1022;745
04;2021-02-18;4;86;0.3;5.6;1026;831
04;2021-02-19;5;7;0.3;0.5;1031;838
04;2021-02-20;1;0;0.1;0.0;1032;838
04;2021-02-22;2;3;0.1;0.2;1034;841
04;2021-02-23;0;1;0.0;0.1;1034;842
04;2021-02-24;3;1;0.2;0.1;1037;843
04;2021-02-25;6;1;0.4;0.1;1043;844
04;2021-02-26;2;0;0.1;0.0;1045;844
04;2021-02-27;2;4;0.1;0.3;1047;848
04;2021-03-01;0;1;0.0;0.1;1047;849
04;2021-03-02;2;15;0.1;1.0;1049;864
04;2021-03-03;12;8;0.8;0.5;1061;872
04;2021-03-04;6;13;0.4;0.8;1067;885
04;2021-03-05;8;7;0.5;0.5;1075;892
04;2021-03-06;0;1;0.0;0.1;1075;893
04;2021-03-08;0;4;0.0;0.3;1075;897
04;2021-03-09;9;15;0.6;1.0;1084;912
04;2021-03-10;2;4;0.1;0.3;1086;916
04;2021-03-11;1;1;0.1;0.1;1087;917
04;2021-03-12;2;5;0.1;0.3;1089;922
04;2021-03-13;1;0;0.1;0.0;1090;922
07;2021-01-21;1;0;;;1;0
07;2021-02-05;1;0;;;2;0
07;2021-02-10;1;0;;;3;0
07;2021-02-12;1;0;;;4;0
07;2021-02-25;0;1;;;4;1
07;2021-02-26;0;1;;;4;2
07;2021-03-02;0;1;;;4;3
07;2021-03-04;0;2;;;4;5
11;2020-12-27;8;0;0.0;0.0;8;0
11;2020-12-29;49;0;0.1;0.0;57;0
11;2020-12-30;66;0;0.1;0.0;123;0
11;2020-12-31;35;0;0.1;0.0;158;0
11;2021-01-02;12;0;0.0;0.0;170;0
11;2021-01-03;1;0;0.0;0.0;171;0
11;2021-01-04;60;0;0.1;0.0;231;0
11;2021-01-05;354;0;0.5;0.0;585;0
11;2021-01-06;114;0;0.2;0.0;699;0
11;2021-01-07;678;0;1.0;0.0;1377;0
11;2021-01-08;515;0;0.8;0.0;1892;0
11;2021-01-09;46;0;0.1;0.0;1938;0
11;2021-01-10;4;0;0.0;0.0;1942;0
11;2021-01-11;336;0;0.5;0.0;2278;0
11;2021-01-12;605;0;0.9;0.0;2883;0
11;2021-01-13;568;0;0.8;0.0;3451;0
11;2021-01-14;443;0;0.7;0.0;3894;0
11;2021-01-15;315;0;0.5;0.0;4209;0
11;2021-01-16;25;3;0.0;0.0;4234;3
11;2021-01-17;10;0;0.0;0.0;4244;3
11;2021-01-18;640;0;0.9;0.0;4884;3
11;2021-01-19;3044;18;4.5;0.0;7928;21
11;2021-01-20;4760;10;7.0;0.0;12688;31
11;2021-01-21;6713;27;9.9;0.0;19401;58
11;2021-01-22;2779;46;4.1;0.1;22180;104
11;2021-01-23;411;0;0.6;0.0;22591;104
11;2021-01-24;107;0;0.2;0.0;22698;104
11;2021-01-25;338;88;0.5;0.1;23036;192
11;2021-01-26;2538;257;3.7;0.4;25574;449
11;2021-01-27;5303;197;7.8;0.3;30877;646
11;2021-01-28;7375;505;10.9;0.7;38252;1151
11;2021-01-29;3038;343;4.5;0.5;41290;1494
11;2021-01-30;569;27;0.8;0.0;41859;1521
11;2021-01-31;78;10;0.1;0.0;41937;1531
11;2021-02-01;281;211;0.4;0.3;42218;1742
11;2021-02-02;488;448;0.7;0.7;42706;2190
11;2021-02-03;336;437;0.5;0.6;43042;2627
11;2021-02-04;528;443;0.8;0.7;43570;3070
11;2021-02-05;380;154;0.6;0.2;43950;3224
11;2021-02-06;131;3;0.2;0.0;44081;3227
11;2021-02-07;37;0;0.1;0.0;44118;3227
11;2021-02-08;202;256;0.3;0.4;44320;3483
11;2021-02-09;911;2637;1.3;3.9;45231;6120
11;2021-02-10;1110;4314;1.6;6.4;46341;10434
11;2021-02-11;1977;5846;2.9;8.6;48318;16280
11;2021-02-12;1203;2127;1.8;3.1;49521;18407
11;2021-02-13;222;204;0.3;0.3;49743;18611
11;2021-02-14;40;11;0.1;0.0;49783;18622
11;2021-02-15;114;309;0.2;0.5;49897;18931
11;2021-02-16;314;1958;0.5;2.9;50211;20889
11;2021-02-17;1061;4624;1.6;6.8;51272;25513
11;2021-02-18;1941;7025;2.9;10.4;53213;32538
11;2021-02-19;1531;2676;2.3;3.9;54744;35214
11;2021-02-20;179;342;0.3;0.5;54923;35556
11;2021-02-21;43;123;0.1;0.2;54966;35679
11;2021-02-22;59;197;0.1;0.3;55025;35876
11;2021-02-23;111;315;0.2;0.5;55136;36191
11;2021-02-24;110;475;0.2;0.7;55246;36666
11;2021-02-25;188;363;0.3;0.5;55434;37029
11;2021-02-26;136;324;0.2;0.5;55570;37353
11;2021-02-27;59;124;0.1;0.2;55629;37477
11;2021-02-28;12;39;0.0;0.1;55641;37516
11;2021-03-01;94;162;0.1;0.2;55735;37678
11;2021-03-02;275;652;0.4;1.0;56010;38330
11;2021-03-03;290;1009;0.4;1.5;56300;39339
11;2021-03-04;512;1725;0.8;2.5;56812;41064
11;2021-03-05;483;1042;0.7;1.5;57295;42106
11;2021-03-06;616;139;0.9;0.2;57911;42245
11;2021-03-07;655;27;1.0;0.0;58566;42272
11;2021-03-08;212;135;0.3;0.2;58778;42407
11;2021-03-09;405;245;0.6;0.4;59183;42652
11;2021-03-10;496;878;0.7;1.3;59679;43530
11;2021-03-11;592;1500;0.9;2.2;60271;45030
11;2021-03-12;578;961;0.9;1.4;60849;45991
11;2021-03-13;511;57;0.8;0.1;61360;46048
11;2021-03-14;294;25;0.4;0.0;61654;46073
24;2020-12-28;15;0;0.0;0.0;15;0
24;2020-12-29;8;0;0.0;0.0;23;0
24;2021-01-04;24;0;0.1;0.0;47;0
24;2021-01-05;130;0;0.4;0.0;177;0
24;2021-01-06;181;0;0.6;0.0;358;0
24;2021-01-07;209;0;0.7;0.0;567;0
24;2021-01-08;425;0;1.4;0.0;992;0
24;2021-01-09;5;0;0.0;0.0;997;0
24;2021-01-10;11;0;0.0;0.0;1008;0
24;2021-01-11;301;0;1.0;0.0;1309;0
24;2021-01-12;975;0;3.2;0.0;2284;0
24;2021-01-13;531;0;1.8;0.0;2815;0
24;2021-01-14;620;0;2.1;0.0;3435;0
24;2021-01-15;224;0;0.7;0.0;3659;0
24;2021-01-16;7;7;0.0;0.0;3666;7
24;2021-01-17;4;1;0.0;0.0;3670;8
24;2021-01-18;502;6;1.7;0.0;4172;14
24;2021-01-19;2329;13;7.8;0.0;6501;27
24;2021-01-20;2800;0;9.3;0.0;9301;27
24;2021-01-21;2960;0;9.9;0.0;12261;27
24;2021-01-22;1073;0;3.6;0.0;13334;27
24;2021-01-23;44;0;0.1;0.0;13378;27
24;2021-01-24;23;0;0.1;0.0;13401;27
24;2021-01-25;282;0;0.9;0.0;13683;27
24;2021-01-26;1232;41;4.1;0.1;14915;68
24;2021-01-27;1492;125;5.0;0.4;16407;193
24;2021-01-28;1671;245;5.6;0.8;18078;438
24;2021-01-29;529;296;1.8;1.0;18607;734
24;2021-01-30;53;0;0.2;0.0;18660;734
24;2021-01-31;31;2;0.1;0.0;18691;736
24;2021-02-01;108;167;0.4;0.6;18799;903
24;2021-02-02;151;855;0.5;2.8;18950;1758
24;2021-02-03;156;506;0.5;1.7;19106;2264
24;2021-02-04;203;465;0.7;1.5;19309;2729
24;2021-02-05;116;175;0.4;0.6;19425;2904
24;2021-02-06;21;1;0.1;0.0;19446;2905
24;2021-02-07;8;0;0.0;0.0;19454;2905
24;2021-02-08;112;425;0.4;1.4;19566;3330
24;2021-02-09;329;2031;1.1;6.8;19895;5361
24;2021-02-10;627;2158;2.1;7.2;20522;7519
24;2021-02-11;876;2967;2.9;9.9;21398;10486
24;2021-02-12;446;1158;1.5;3.9;21844;11644
24;2021-02-13;52;64;0.2;0.2;21896;11708
24;2021-02-14;22;9;0.1;0.0;21918;11717
24;2021-02-15;119;272;0.4;0.9;22037;11989
24;2021-02-16;209;1057;0.7;3.5;22246;13046
24;2021-02-17;330;1405;1.1;4.7;22576;14451
24;2021-02-18;416;1545;1.4;5.1;22992;15996
24;2021-02-19;275;559;0.9;1.9;23267;16555
24;2021-02-20;55;64;0.2;0.2;23322;16619
24;2021-02-21;19;4;0.1;0.0;23341;16623
24;2021-02-22;33;56;0.1;0.2;23374;16679
24;2021-02-23;50;196;0.2;0.7;23424;16875
24;2021-02-24;124;141;0.4;0.5;23548;17016
24;2021-02-25;124;98;0.4;0.3;23672;17114
24;2021-02-26;114;71;0.4;0.2;23786;17185
24;2021-02-27;11;14;0.0;0.0;23797;17199
24;2021-02-28;0;3;0.0;0.0;23797;17202
24;2021-03-01;75;46;0.2;0.2;23872;17248
24;2021-03-02;133;298;0.4;1.0;24005;17546
