fra;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
FR;2020-12-27;11;0;0.0;0.0;11;0
FR;2020-12-28;47;0;0.0;0.0;58;0
FR;2020-12-29;95;0;0.0;0.0;153;0
FR;2020-12-30;95;0;0.0;0.0;248;0
FR;2020-12-31;64;0;0.0;0.0;312;0
FR;2021-01-01;2;0;0.0;0.0;314;0
FR;2021-01-02;14;0;0.0;0.0;328;0
FR;2021-01-03;1;0;0.0;0.0;329;0
FR;2021-01-04;341;0;0.1;0.0;670;0
FR;2021-01-05;1230;0;0.2;0.0;1900;0
FR;2021-01-06;2107;0;0.3;0.0;4007;0
FR;2021-01-07;7811;0;1.2;0.0;11818;0
FR;2021-01-08;7038;0;1.1;0.0;18856;0
FR;2021-01-09;969;0;0.2;0.0;19825;0
FR;2021-01-10;194;0;0.0;0.0;20019;0
FR;2021-01-11;4865;0;0.8;0.0;24884;0
FR;2021-01-12;14811;0;2.4;0.0;39695;0
FR;2021-01-13;13841;0;2.2;0.0;53536;0
FR;2021-01-14;18879;0;3.0;0.0;72415;0
FR;2021-01-15;10038;0;1.6;0.0;82453;0
FR;2021-01-16;1295;118;0.2;0.0;83748;118
FR;2021-01-17;3228;3;0.5;0.0;86976;121
FR;2021-01-18;12220;15;1.9;0.0;99196;136
FR;2021-01-19;35111;85;5.6;0.0;134307;221
FR;2021-01-20;37394;44;6.0;0.0;171701;265
FR;2021-01-21;48037;48;7.7;0.0;219738;313
FR;2021-01-22;20873;49;3.3;0.0;240611;362
FR;2021-01-23;3220;0;0.5;0.0;243831;362
FR;2021-01-24;2655;1;0.4;0.0;246486;363
FR;2021-01-25;8397;224;1.3;0.0;254883;587
FR;2021-01-26;19112;1080;3.0;0.2;273995;1667
FR;2021-01-27;26625;1694;4.2;0.3;300620;3361
FR;2021-01-28;37723;6343;6.0;1.0;338343;9704
FR;2021-01-29;16250;4776;2.6;0.8;354593;14480
FR;2021-01-30;2288;743;0.4;0.1;356881;15223
FR;2021-01-31;990;262;0.2;0.0;357871;15485
FR;2021-02-01;4838;3623;0.8;0.6;362709;19108
FR;2021-02-02;12429;11568;2.0;1.8;375138;30676
FR;2021-02-03;14914;11002;2.4;1.8;390052;41678
FR;2021-02-04;18764;17225;3.0;2.7;408816;58903
FR;2021-02-05;8957;10070;1.4;1.6;417773;68973
FR;2021-02-06;1402;1224;0.2;0.2;419175;70197
FR;2021-02-07;600;2270;0.1;0.4;419775;72467
FR;2021-02-08;3188;8724;0.5;1.4;422963;81191
FR;2021-02-09;8236;29017;1.3;4.6;431199;110208
FR;2021-02-10;9134;31806;1.5;5.1;440333;142014
FR;2021-02-11;13665;44050;2.2;7.0;453998;186064
FR;2021-02-12;8517;18577;1.4;3.0;462515;204641
FR;2021-02-13;1400;2220;0.2;0.4;463915;206861
FR;2021-02-14;367;2174;0.1;0.3;464282;209035
FR;2021-02-15;2081;6865;0.3;1.1;466363;215900
FR;2021-02-16;3948;16316;0.6;2.6;470311;232216
FR;2021-02-17;6033;23850;1.0;3.8;476344;256066
FR;2021-02-18;10000;35129;1.6;5.6;486344;291195
FR;2021-02-19;7349;15654;1.2;2.5;493693;306849
FR;2021-02-20;720;1699;0.1;0.3;494413;308548
FR;2021-02-21;215;919;0.0;0.1;494628;309467
FR;2021-02-22;1740;4463;0.3;0.7;496368;313930
FR;2021-02-23;3666;11030;0.6;1.8;500034;324960
FR;2021-02-24;4336;13340;0.7;2.1;504370;338300
FR;2021-02-25;6110;16766;1.0;2.7;510480;355066
FR;2021-02-26;4088;7015;0.7;1.1;514568;362081
FR;2021-02-27;812;1105;0.1;0.2;515380;363186
FR;2021-02-28;121;304;0.0;0.0;515501;363490
FR;2021-03-01;1160;2909;0.2;0.5;516661;366399
FR;2021-03-02;2823;6600;0.5;1.1;519484;372999
FR;2021-03-03;2947;7345;0.5;1.2;522431;380344
FR;2021-03-04;4386;11804;0.7;1.9;526817;392148
FR;2021-03-05;3752;6953;0.6;1.1;530569;399101
FR;2021-03-06;2692;588;0.4;0.1;533261;399689
FR;2021-03-07;1637;207;0.3;0.0;534898;399896
FR;2021-03-08;1886;1532;0.3;0.2;536784;401428
FR;2021-03-09;3082;3122;0.5;0.5;539866;404550
FR;2021-03-10;4114;5267;0.7;0.8;543980;409817
FR;2021-03-11;5336;8351;0.9;1.3;549316;418168
FR;2021-03-12;4203;4710;0.7;0.8;553519;422878
FR;2021-03-13;2346;351;0.4;0.1;555865;423229
FR;2021-03-14;754;138;0.1;0.0;556619;423367
