dep;jour;res_vac_dose1;res_vac_dose2;res_couv_dose1;res_couv_dose2;res_vac_cum_dose1;res_vac_cum_dose2
00;2021-02-06;1;0;;;1;0
01;2021-01-07;38;0;0.6;0.0;38;0
01;2021-01-08;114;0;1.9;0.0;152;0
01;2021-01-09;2;0;0.0;0.0;154;0
01;2021-01-11;43;0;0.7;0.0;197;0
01;2021-01-12;34;0;0.6;0.0;231;0
01;2021-01-13;71;0;1.2;0.0;302;0
01;2021-01-14;105;0;1.7;0.0;407;0
01;2021-01-15;24;0;0.4;0.0;431;0
01;2021-01-16;9;0;0.1;0.0;440;0
01;2021-01-18;21;0;0.3;0.0;461;0
01;2021-01-19;393;0;6.4;0.0;854;0
01;2021-01-20;494;0;8.0;0.0;1348;0
01;2021-01-21;461;0;7.5;0.0;1809;0
01;2021-01-22;120;0;1.9;0.0;1929;0
01;2021-01-23;13;0;0.2;0.0;1942;0
01;2021-01-24;1;0;0.0;0.0;1943;0
01;2021-01-25;20;0;0.3;0.0;1963;0
01;2021-01-26;188;0;3.1;0.0;2151;0
01;2021-01-27;98;0;1.6;0.0;2249;0
01;2021-01-28;170;68;2.8;1.1;2419;68
01;2021-01-29;77;25;1.2;0.4;2496;93
01;2021-01-30;2;0;0.0;0.0;2498;93
01;2021-02-01;39;5;0.6;0.1;2537;98
01;2021-02-02;67;35;1.1;0.6;2604;133
01;2021-02-03;65;65;1.1;1.1;2669;198
01;2021-02-04;84;125;1.4;2.0;2753;323
01;2021-02-05;8;0;0.1;0.0;2761;323
01;2021-02-06;2;0;0.0;0.0;2763;323
01;2021-02-08;59;31;1.0;0.5;2822;354
01;2021-02-09;205;323;3.3;5.2;3027;677
01;2021-02-10;421;315;6.8;5.1;3448;992
01;2021-02-11;256;382;4.2;6.2;3704;1374
01;2021-02-12;47;66;0.8;1.1;3751;1440
01;2021-02-13;1;3;0.0;0.0;3752;1443
01;2021-02-14;0;1;0.0;0.0;3752;1444
01;2021-02-15;37;82;0.6;1.3;3789;1526
01;2021-02-16;52;177;0.8;2.9;3841;1703
01;2021-02-17;90;89;1.5;1.4;3931;1792
01;2021-02-18;74;199;1.2;3.2;4005;1991
01;2021-02-19;24;65;0.4;1.1;4029;2056
01;2021-02-20;4;2;0.1;0.0;4033;2058
01;2021-02-22;40;27;0.6;0.4;4073;2085
01;2021-02-23;48;13;0.8;0.2;4121;2098
01;2021-02-24;27;14;0.4;0.2;4148;2112
01;2021-02-25;20;36;0.3;0.6;4168;2148
01;2021-02-26;4;37;0.1;0.6;4172;2185
01;2021-02-27;6;0;0.1;0.0;4178;2185
01;2021-03-01;28;28;0.5;0.5;4206;2213
01;2021-03-02;97;128;1.6;2.1;4303;2341
01;2021-03-03;32;343;0.5;5.6;4335;2684
01;2021-03-04;62;180;1.0;2.9;4397;2864
01;2021-03-05;12;34;0.2;0.6;4409;2898
01;2021-03-06;4;0;0.1;0.0;4413;2898
01;2021-03-07;2;1;0.0;0.0;4415;2899
01;2021-03-08;4;67;0.1;1.1;4419;2966
01;2021-03-09;87;34;1.4;0.6;4506;3000
01;2021-03-10;30;101;0.5;1.6;4536;3101
01;2021-03-11;52;52;0.8;0.8;4588;3153
01;2021-03-12;7;33;0.1;0.5;4595;3186
01;2021-03-13;8;0;0.1;0.0;4603;3186
01;2021-03-14;2;0;0.0;0.0;4605;3186
02;2021-01-06;1;0;0.0;0.0;1;0
02;2021-01-07;76;0;1.3;0.0;77;0
02;2021-01-08;187;0;3.2;0.0;264;0
02;2021-01-09;2;0;0.0;0.0;266;0
02;2021-01-10;7;0;0.1;0.0;273;0
02;2021-01-11;28;0;0.5;0.0;301;0
02;2021-01-12;76;0;1.3;0.0;377;0
02;2021-01-13;45;0;0.8;0.0;422;0
02;2021-01-14;79;0;1.4;0.0;501;0
02;2021-01-15;34;0;0.6;0.0;535;0
02;2021-01-16;1;1;0.0;0.0;536;1
02;2021-01-18;90;0;1.6;0.0;626;1
02;2021-01-19;150;0;2.6;0.0;776;1
02;2021-01-20;455;0;7.8;0.0;1231;1
02;2021-01-21;1343;0;23.2;0.0;2574;1
02;2021-01-22;492;0;8.5;0.0;3066;1
02;2021-01-23;62;0;1.1;0.0;3128;1
02;2021-01-24;30;0;0.5;0.0;3158;1
02;2021-01-25;13;0;0.2;0.0;3171;1
02;2021-01-26;11;0;0.2;0.0;3182;1
02;2021-01-27;10;0;0.2;0.0;3192;1
02;2021-01-28;8;88;0.1;1.5;3200;89
02;2021-01-29;40;157;0.7;2.7;3240;246
02;2021-01-31;0;4;0.0;0.1;3240;250
02;2021-02-01;6;24;0.1;0.4;3246;274
02;2021-02-02;13;79;0.2;1.4;3259;353
02;2021-02-03;4;27;0.1;0.5;3263;380
02;2021-02-04;8;25;0.1;0.4;3271;405
02;2021-02-05;1;49;0.0;0.8;3272;454
02;2021-02-06;0;2;0.0;0.0;3272;456
02;2021-02-08;20;29;0.3;0.5;3292;485
02;2021-02-09;18;123;0.3;2.1;3310;608
02;2021-02-10;91;468;1.6;8.1;3401;1076
02;2021-02-11;322;1121;5.6;19.3;3723;2197
02;2021-02-12;215;499;3.7;8.6;3938;2696
02;2021-02-13;41;23;0.7;0.4;3979;2719
02;2021-02-15;4;39;0.1;0.7;3983;2758
02;2021-02-16;2;11;0.0;0.2;3985;2769
02;2021-02-17;11;13;0.2;0.2;3996;2782
02;2021-02-18;2;3;0.0;0.1;3998;2785
02;2021-02-19;29;61;0.5;1.1;4027;2846
02;2021-02-20;3;8;0.1;0.1;4030;2854
02;2021-02-21;0;1;0.0;0.0;4030;2855
02;2021-02-22;33;4;0.6;0.1;4063;2859
02;2021-02-23;43;13;0.7;0.2;4106;2872
02;2021-02-24;15;0;0.3;0.0;4121;2872
02;2021-02-25;9;2;0.2;0.0;4130;2874
02;2021-02-26;6;6;0.1;0.1;4136;2880
02;2021-02-27;6;0;0.1;0.0;4142;2880
02;2021-03-01;14;0;0.2;0.0;4156;2880
02;2021-03-02;53;12;0.9;0.2;4209;2892
02;2021-03-03;5;28;0.1;0.5;4214;2920
02;2021-03-04;29;295;0.5;5.1;4243;3215
02;2021-03-05;42;211;0.7;3.6;4285;3426
02;2021-03-06;12;8;0.2;0.1;4297;3434
02;2021-03-07;7;26;0.1;0.4;4304;3460
02;2021-03-08;4;2;0.1;0.0;4308;3462
02;2021-03-09;35;1;0.6;0.0;4343;3463
02;2021-03-10;2;1;0.0;0.0;4345;3464
02;2021-03-11;44;7;0.8;0.1;4389;3471
02;2021-03-12;34;25;0.6;0.4;4423;3496
02;2021-03-13;9;0;0.2;0.0;4432;3496
02;2021-03-14;1;0;0.0;0.0;4433;3496
03;2021-01-06;5;0;0.1;0.0;5;0
03;2021-01-07;6;0;0.1;0.0;11;0
03;2021-01-08;66;0;1.3;0.0;77;0
03;2021-01-09;113;0;2.2;0.0;190;0
03;2021-01-11;12;0;0.2;0.0;202;0
03;2021-01-12;66;0;1.3;0.0;268;0
03;2021-01-13;35;0;0.7;0.0;303;0
03;2021-01-14;21;0;0.4;0.0;324;0
03;2021-01-15;61;0;1.2;0.0;385;0
03;2021-01-16;60;0;1.2;0.0;445;0
03;2021-01-17;20;0;0.4;0.0;465;0
03;2021-01-18;49;0;0.9;0.0;514;0
03;2021-01-19;156;0;3.0;0.0;670;0
03;2021-01-20;217;0;4.2;0.0;887;0
03;2021-01-21;103;0;2.0;0.0;990;0
03;2021-01-22;170;0;3.3;0.0;1160;0
03;2021-01-23;8;0;0.2;0.0;1168;0
03;2021-01-25;19;0;0.4;0.0;1187;0
03;2021-01-26;94;9;1.8;0.2;1281;9
03;2021-01-27;52;2;1.0;0.0;1333;11
03;2021-01-28;47;6;0.9;0.1;1380;17
03;2021-01-29;68;59;1.3;1.1;1448;76
03;2021-01-30;17;121;0.3;2.3;1465;197
03;2021-02-01;6;10;0.1;0.2;1471;207
03;2021-02-02;234;38;4.5;0.7;1705;245
03;2021-02-03;484;32;9.3;0.6;2189;277
03;2021-02-04;569;20;11.0;0.4;2758;297
03;2021-02-05;246;50;4.7;1.0;3004;347
03;2021-02-06;7;58;0.1;1.1;3011;405
03;2021-02-07;1;21;0.0;0.4;3012;426
03;2021-02-08;11;25;0.2;0.5;3023;451
03;2021-02-09;19;197;0.4;3.8;3042;648
03;2021-02-10;16;179;0.3;3.5;3058;827
03;2021-02-11;30;90;0.6;1.7;3088;917
03;2021-02-12;41;170;0.8;3.3;3129;1087
03;2021-02-15;19;3;0.4;0.1;3148;1090
03;2021-02-16;7;7;0.1;0.1;3155;1097
03;2021-02-17;6;117;0.1;2.3;3161;1214
03;2021-02-18;12;43;0.2;0.8;3173;1257
03;2021-02-19;15;29;0.3;0.6;3188;1286
03;2021-02-20;1;3;0.0;0.1;3189;1289
03;2021-02-21;1;0;0.0;0.0;3190;1289
03;2021-02-22;23;1;0.4;0.0;3213;1290
03;2021-02-23;23;210;0.4;4.0;3236;1500
03;2021-02-24;76;379;1.5;7.3;3312;1879
03;2021-02-25;83;475;1.6;9.2;3395;2354
03;2021-02-26;96;234;1.9;4.5;3491;2588
03;2021-02-27;0;1;0.0;0.0;3491;2589
